[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=2238] exit timeout, forced kill
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=2239] exit timeout, forced kill
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=2240] exit timeout, forced kill
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=2241] exit timeout, forced kill
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=2243] exit timeout, forced kill
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=2242] exit timeout, forced kill
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=2238] abnormal exit, status=0, signal=9
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=2243] abnormal exit, status=0, signal=9
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=2242] abnormal exit, status=0, signal=9
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=2241] abnormal exit, status=0, signal=9
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=2240] abnormal exit, status=0, signal=9
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=2239] abnormal exit, status=0, signal=9
[2019-10-01 20:02:31 $1828.0]	WARNING	swManager_check_exit_status: worker#9[pid=2237] abnormal exit, status=0, signal=9
[2019-10-01 20:02:57 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 20:03:00 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=2272] exit timeout, forced kill
[2019-10-01 20:03:00 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=2281] exit timeout, forced kill
